,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,group,item,type,condition,sentence,question,answer,speed,file,duration
35,35,35,35,a1,36,target,implaus,The duchess offered the robe the girl.,Did the robe receive something/someone?,yes,3,36_target_implaus_8.gif,9960
36,36,36,36,a1,37,target,implaus,The monastery offered the shelf the monk.,Did the monk receive something/someone?,no,1,37_target_implaus_1.gif,2275
37,37,37,37,a1,38,target,implaus,The winemaker offered the ale the Jew.,Did the ale receive something/someone?,yes,2,38_target_implaus_4.gif,5560
38,38,38,38,a1,39,target,implaus,The conference organizer offered the jackets the speakers.,Did the speakers receive something/someone?,no,3,39_target_implaus_8.gif,11255
39,39,39,39,a1,40,target,implaus,The doctor passed the mask the nurse.,Did the mask receive something/someone?,yes,1,40_target_implaus_1.gif,2255
40,40,40,40,a1,41,target,implaus,The husband passed the plate the wife.,Did the wife receive something/someone?,no,2,41_target_implaus_4.gif,5560
41,41,41,41,a1,42,target,implaus,The guest passed the soup the host.,Did the soup receive something/someone?,yes,3,42_target_implaus_8.gif,9945
42,42,42,42,a1,43,target,implaus,The secretary passed the jam the boss.,Did the boss receive something/someone?,no,1,43_target_implaus_1.gif,2260
43,43,43,43,a1,44,target,implaus,The caregiver passed the onion the leper.,Did the onion receive something/someone?,yes,2,44_target_implaus_4.gif,5575
44,44,44,44,a1,45,target,implaus,The merchant sold the wine the lord.,Did the lord receive something/someone?,no,3,45_target_implaus_8.gif,9950
45,45,45,45,a1,46,target,implaus,The uncle sold the calves the niece.,Did the calves receive something/someone?,yes,1,46_target_implaus_1.gif,2250
46,46,46,46,a1,47,target,implaus,The food truck sold the pastry the rider.,Did the rider receive something/someone?,no,2,47_target_implaus_4.gif,6170
47,47,47,47,a1,48,target,implaus,The witch sold the serpent the wizard.,Did the serpent receive something/someone?,yes,3,48_target_implaus_8.gif,9960
48,48,48,48,a1,49,target,implaus,The butcher sold the pork the thief.,Did the thief receive something/someone?,no,1,49_target_implaus_1.gif,2250
49,49,49,49,a1,50,target,implaus,The foreigner leased the horse the king.,Did the horse receive something/someone?,yes,2,50_target_implaus_4.gif,5570
50,50,50,50,a1,51,target,implaus,The farmer leased the cottage the actor.,Did the actor receive something/someone?,no,3,51_target_implaus_8.gif,9970
51,51,51,51,a1,52,target,implaus,The groomsman leased the house the groom.,Did the house receive something/someone?,yes,1,52_target_implaus_1.gif,2275
52,52,52,52,a1,53,target,implaus,The manager leased the shirt the guy.,Did the guy receive something/someone?,no,2,53_target_implaus_4.gif,5555
53,53,53,53,a1,54,target,implaus,The boy threw the flute the knight.,Did the flute receive something/someone?,yes,3,54_target_implaus_8.gif,9945
54,54,54,54,a1,55,target,implaus,The girl threw the pen the boy.,Did the boy receive something/someone?,no,1,55_target_implaus_1.gif,2225
55,55,55,55,a1,56,target,implaus,The butler threw the bag the cook.,Did the bag receive something/someone?,yes,2,56_target_implaus_4.gif,5540
56,56,56,56,a1,57,target,implaus,The bartender tossed the apron the baker.,Did the baker receive something/someone?,no,3,57_target_implaus_8.gif,9975
57,57,57,57,a1,58,target,implaus,The miser tossed the peach the heir.,Did the peach receive something/someone?,yes,1,58_target_implaus_1.gif,2250
58,58,58,58,a1,59,target,implaus,The politician tossed the key the guard.,Did the guard receive something/someone?,no,2,59_target_implaus_4.gif,5570
59,59,59,59,a1,60,target,implaus,The mistress tossed the blouse the guest.,Did the blouse receive something/someone?,yes,3,60_target_implaus_8.gif,9975
60,60,60,60,a1,101,filler,filler,She pricked her finger on a thorn.,Did a thorn prick her finger?,yes,1,101_filler_filler_1.gif,2240
61,61,61,61,a1,102,filler,filler,The cat chased a small gray mouse.,Was the cat playing with a toy?,no,2,102_filler_filler_4.gif,5540
62,62,62,62,a1,103,filler,filler,He skipped a smooth stone across the lake.,Did the stone bounce across the water?,yes,3,103_filler_filler_8.gif,11175
63,63,63,63,a1,104,filler,filler,She turned the key in the old lock.,Did she try to open something with the key?,yes,1,104_filler_filler_1.gif,2390
64,64,64,64,a1,105,filler,filler,The magician pulled a rabbit out of his hat.,Did the magician produce a dove from the hat?,no,2,105_filler_filler_4.gif,6780
65,65,65,65,a1,106,filler,filler,He tied the package with some rope.,Was he wrapping the package with tape?,no,3,106_filler_filler_8.gif,9945
66,66,66,66,a1,107,filler,filler,The trainer clapped to cue the trained seal into the ring.,Was the seal given a signal to perform?,yes,1,107_filler_filler_1.gif,2940
67,67,67,67,a1,108,filler,filler,She left a handwritten note on his desk.,Did she send him an email instead?,no,2,108_filler_filler_4.gif,6165
68,68,68,68,a1,109,filler,filler,The brave soldier became a noble knight in the story.,Was the character portrayed as cowardly?,no,3,109_filler_filler_8.gif,13620
69,69,69,69,a1,110,filler,filler,He dipped a chip into the salsa.,Did he eat the chip with salsa?,yes,1,110_filler_filler_1.gif,2230
70,70,70,70,a1,111,filler,filler,He wore a black tie with a gray business suit.,Was he dressed formally?,yes,2,111_filler_filler_4.gif,7385
71,71,71,71,a1,112,filler,filler,She caught the fish in her fishing net.,Did she catch the fish?,yes,3,112_filler_filler_8.gif,11160
72,72,72,72,a1,113,filler,filler,He was in the prison.,Was he in the hospital?,no,1,113_filler_filler_1.gif,1885
73,73,73,73,a1,114,filler,filler,"To find the treasure, they followed the old map through the jungle.",Did they rely on a modern GPS system?,no,2,114_filler_filler_4.gif,8680
74,74,74,74,a1,115,filler,filler,She picked up a white spiral shell from the sand.,Did she find the shell in the snow?,no,3,115_filler_filler_8.gif,13600
75,75,75,75,a1,116,filler,filler,The night sky was lit by the bright full moon.,Was the full moon visible in the sky?,yes,1,116_filler_filler_1.gif,2735
76,76,76,76,a1,117,filler,filler,"For his birthday, they surprised him with a strawberry cake.",Was he expecting a birthday surprise?,no,2,117_filler_filler_4.gif,7455
77,77,77,77,a1,118,filler,filler,He grilled a fresh ear of corn for lunch.,Did he prepare corn using a grill?,yes,3,118_filler_filler_8.gif,12365
78,78,78,78,a1,119,filler,filler,He pulled tight to secure the knot in the rope.,Was he trying to untie the rope?,no,1,119_filler_filler_1.gif,2740
79,79,79,79,a1,120,filler,filler,She pulled some coins from her purse.,Did she have coins?,yes,2,120_filler_filler_4.gif,5555
80,80,80,80,a1,121,filler,filler,The hotel boasts an infinity pool.,Does the hotel have a pool?,yes,3,121_filler_filler_8.gif,8745
81,81,81,81,a1,122,filler,filler,The children built a castle.,Did the children build the castle?,yes,1,122_filler_filler_1.gif,1920
82,82,82,82,a1,123,filler,filler,The old stone mill by the river still grinds wheat into flour.,Was the mill by the river?,yes,2,123_filler_filler_4.gif,8655
83,83,83,83,a1,124,filler,filler,He had to tweak the settings on his camera to get the perfect shot.,Was he using a computer?,no,3,124_filler_filler_8.gif,18470
84,84,84,84,a1,125,filler,filler,The cave was dark and echoed when the explorer spoke. ,Was the cave quiet and bright?,no,1,125_filler_filler_1.gif,2770
85,85,85,85,a1,126,filler,filler,The girl performed a graceful dance on stage.,Did the girl dance?,yes,2,126_filler_filler_4.gif,6190
86,86,86,86,a1,127,filler,filler,A deep fear settled in his heart.,Was he calm and fearless?,no,3,127_filler_filler_8.gif,9935
87,87,87,87,a1,128,filler,filler,He had a deep frown on his face.,Was he smiling?,no,1,128_filler_filler_1.gif,2375
88,88,88,88,a1,129,filler,filler,The cat made a quick jump onto the windowsill.,Did the cat jump?,yes,2,129_filler_filler_4.gif,6790
89,89,89,89,a1,130,filler,filler,They built a ramp to connect the sidewalk to the entrance.,Did they build a bridge?,no,3,130_filler_filler_8.gif,14840
90,90,90,90,a1,131,filler,filler,The old bridge swayed slightly in the wind.,Did the bridge move in the wind?,yes,1,131_filler_filler_1.gif,2430
91,91,91,91,a1,132,filler,filler,She placed the fresh tulips in a crystal vase on the dining table.,Did she place tulips on the dining hall table?,yes,2,132_filler_filler_4.gif,9270
92,92,92,92,a1,133,filler,filler,"The bright sun warmed the beach, casting long shadows across the sand.",Was the beach covered in snow?,no,3,133_filler_filler_8.gif,16095
93,93,93,93,a1,134,filler,filler,He scribbled the notes quickly on a sheet.,Did he take notes?,yes,1,134_filler_filler_1.gif,2425
94,94,94,94,a1,135,filler,filler,The boat began to drift with the current.,Was the boat anchored in place?,no,2,135_filler_filler_4.gif,6170
95,95,95,95,a1,136,filler,filler,The balloon continued to float in the air.,Did the balloon stay on the ground?,no,3,136_filler_filler_8.gif,11175
96,96,96,96,a1,137,filler,filler,The ice began to melt under the sun.,Did the ice remain frozen the whole time?,no,1,137_filler_filler_1.gif,2395
97,97,97,97,a1,138,filler,filler,The cat stretched its neck to look out the window.,Was there a cat?,yes,2,138_filler_filler_4.gif,7405
98,98,98,98,a1,139,filler,filler,"After hours of playing, the guitarist's fingertips developed a callus.",Did the musician play the guitar? ,yes,3,139_filler_filler_8.gif,13705
99,99,99,99,a1,140,filler,filler,The blanket was incredibly soft.,Was the blanket rough?,no,1,140_filler_filler_1.gif,1940
100,100,100,100,a1,141,filler,filler,The storm raged outside all night.,Was the weather calm during the night?,no,2,141_filler_filler_4.gif,4945
101,101,101,101,a1,142,filler,filler,She decided to throw away her old clothes.,Did she keep all her old clothes?,no,3,142_filler_filler_8.gif,11175
102,102,102,102,a1,143,filler,filler,The room fell quiet after the announcement.,Did the room get louder after the announcement?,no,1,143_filler_filler_1.gif,2285
103,103,103,103,a1,144,filler,filler,She found a shiny coin under the couch.,Did she find a bottle under the couch?,no,2,144_filler_filler_4.gif,6160
104,104,104,104,a1,145,filler,filler,The children played inside the tent for hours.,Were the children inside the tent?,yes,3,145_filler_filler_8.gif,11195
105,105,105,105,a1,146,filler,filler,The movie tells the story of a young hero.,Was the movie about a hero?,yes,1,146_filler_filler_1.gif,2570
106,106,106,106,a1,147,filler,filler,A distant drum beat echoed through the valley.,Was the source of the drum beat close?,no,2,147_filler_filler_4.gif,6195
107,107,107,107,a1,148,filler,filler,The train sped past the station without stopping.,Did the train stop at the station?,no,3,148_filler_filler_8.gif,11210
108,108,108,108,a1,149,filler,filler,Someone who has fought in a war is a veteran.,Does the sentence mention a war? ,yes,1,149_filler_filler_1.gif,2730
109,109,109,109,a1,150,filler,filler,The woman brought her sick pet dog to a veterinarian.,Was the animal a canine? ,yes,2,150_filler_filler_4.gif,7420
110,110,110,110,a1,151,filler,filler,The vintage wedding dress was big and required an alteration.,Was the gown too small? ,no,3,151_filler_filler_8.gif,13660
111,111,111,111,a1,152,filler,filler,She saved him from the poison by administering an antidote.,Did she save him by amputating? ,no,1,152_filler_filler_1.gif,2800
112,112,112,112,a1,153,filler,filler,There is a beanbag toss game booth at this carnival.,Were the beanbags for a game? ,yes,2,153_filler_filler_4.gif,7415
113,113,113,113,a1,154,filler,filler,"For lunch, she had brought tomato soup in a thermos.",Did she bring her own lunch? ,yes,3,154_filler_filler_8.gif,13615
114,114,114,114,a1,155,filler,filler,"The circus featured an acrobat, a clown, and a juggler.",Was there a clown at the performance? ,yes,1,155_filler_filler_1.gif,2780
115,115,115,115,a1,156,filler,filler,"In the nineties, the Rugrats was a very popular cartoon.",Was the Rugrats obscure during the nineties? ,no,2,156_filler_filler_4.gif,7435
116,116,116,116,a1,157,filler,filler,The goddess refused to be bested by a mere mortal.,Was the deity okay with losing? ,no,3,157_filler_filler_8.gif,13605
117,117,117,117,a1,158,filler,filler,The sailors feared the harsh discipline of this ship captain.,Does the sentence mention sailors?,yes,1,158_filler_filler_1.gif,2810
118,118,118,118,a1,159,filler,filler,The flute player nervously prepared an excerpt for an audition.,Did the musician feel anxious? ,yes,2,159_filler_filler_4.gif,7470
119,119,119,119,a1,160,filler,filler,The college sent out a newsletter to all its alumni.,Does the sentence mention a college? ,yes,3,160_filler_filler_8.gif,13615
120,120,120,120,a2,1,target,plaus,The sister mailed the niece the letter.,Did the niece receive something/someone?,yes,2,1_target_plaus_4.gif,5565
121,121,121,121,a2,2,target,plaus,The mother gave the daughter the candle.,Did the daughter receive something/someone?,yes,3,2_target_plaus_8.gif,9970
122,122,122,122,a2,3,target,plaus,The uncle sold the father the truck.,Did the father receive something/someone?,yes,1,3_target_plaus_1.gif,2250
123,123,123,123,a2,4,target,plaus,The contractor lent the homeowner the saw.,Did the homeowner receive something/someone?,yes,2,4_target_plaus_4.gif,5580
124,124,124,124,a2,5,target,plaus,The sailing club leased the man the boat.,Did the man receive something/someone?,yes,3,5_target_plaus_8.gif,11170
125,125,125,125,a2,6,target,plaus,The girl tossed the boy the apple.,Did the apple receive something/someone?,no,1,6_target_plaus_1.gif,2240
126,126,126,126,a2,7,target,plaus,The daughter passed the mother the bowl.,Did the bowl receive something/someone?,no,2,7_target_plaus_4.gif,5570
127,127,127,127,a2,8,target,plaus,The scuba instructor rented the tourist the equipment.,Did the equipment receive something/someone?,no,3,8_target_plaus_8.gif,11235
128,128,128,128,a2,9,target,plaus,The boy handed the girl the pencil.,Did the pencil receive something/someone?,no,1,9_target_plaus_1.gif,2245
129,129,129,129,a2,10,target,plaus,The nanny threw the child the toy.,Did the toy receive something/someone?,no,2,10_target_plaus_4.gif,5540
130,130,130,130,a2,11,target,plaus,The nephew mailed the aunt the postcard.,Did the postcard receive something/someone?,no,3,11_target_plaus_8.gif,9970
131,131,131,131,a2,12,target,plaus,The father gave the son the car.,Did the car receive something/someone?,no,1,12_target_plaus_1.gif,2230
132,132,132,132,a2,13,target,plaus,The shop sold the student the bike.,Did the bike receive something/someone?,no,2,13_target_plaus_4.gif,5545
133,133,133,133,a2,14,target,plaus,The janitor lent the teacher the mop.,Did the mop receive something/someone?,no,3,14_target_plaus_8.gif,9955
134,134,134,134,a2,15,target,plaus,The car dealer leased the plumber the SUV.,Did the SUV receive something/someone?,no,1,15_target_plaus_1.gif,2425
135,135,135,135,a2,16,target,plaus,The host tossed the contestant the microphone.,Did the contestant receive something/someone?,yes,2,16_target_plaus_4.gif,5600
136,136,136,136,a2,17,target,plaus,The quarterback passed the receiver the ball.,Did the receiver receive something/someone?,yes,3,17_target_plaus_8.gif,9995
137,137,137,137,a2,18,target,plaus,The videostore rented the customer the DVD.,Did the customer receive something/someone?,yes,1,18_target_plaus_1.gif,2285
138,138,138,138,a2,19,target,plaus,The bartender handed the lady the drink.,Did the lady receive something/someone?,yes,2,19_target_plaus_4.gif,5570
139,139,139,139,a2,20,target,plaus,The magician threw the assistant the hat.,Did the assistant receive something/someone?,yes,3,20_target_plaus_8.gif,9975
140,140,140,140,a2,21,target,plaus,The animal lover gave the cat the snack.,Did the cat receive something/someone?,yes,1,21_target_plaus_1.gif,2415
141,141,141,141,a2,22,target,plaus,The restaurant owner gave the mobster the brandy.,Did the brandy receive something/someone?,no,2,22_target_plaus_4.gif,6210
142,142,142,142,a2,23,target,plaus,The overseer gave the serf the seeds.,Did the serf receive something/someone?,yes,3,23_target_plaus_8.gif,9955
143,143,143,143,a2,24,target,plaus,The painter gave the saint the clothes.,Did the clothes receive something/someone?,no,1,24_target_plaus_1.gif,2265
144,144,144,144,a2,25,target,plaus,The undercover cop gave the felon the berries.,Did the felon receive something/someone?,yes,2,25_target_plaus_4.gif,6195
145,145,145,145,a2,26,target,plaus,The queen handed the nun the cloak.,Did the cloak receive something/someone?,no,3,26_target_plaus_8.gif,9945
146,146,146,146,a2,27,target,plaus,The father handed the son the bill.,Did the son receive something/someone?,yes,1,27_target_plaus_1.gif,2245
147,147,147,147,a2,28,target,plaus,The mother handed the kid the rag.,Did the rag receive something/someone?,no,2,28_target_plaus_4.gif,5540
148,148,148,148,a2,29,target,plaus,The zookeeper handed the ape the stone.,Did the ape receive something/someone?,yes,3,29_target_plaus_8.gif,9965
149,149,149,149,a2,30,target,plaus,The traitor handed the thug the knife.,Did the knife receive something/someone?,no,1,30_target_plaus_1.gif,2260
150,150,150,150,a2,31,target,implaus,The cleaner lent the broom the cop.,Did the cop receive something/someone?,no,2,31_target_implaus_4.gif,5545
151,151,151,151,a2,32,target,implaus,The delivery driver lent the perfume the sailor.,Did the perfume receive something/someone?,yes,3,32_target_implaus_8.gif,11205
152,152,152,152,a2,33,target,implaus,The humorous king lent the throne the clown.,Did the clown receive something/someone?,no,1,33_target_implaus_1.gif,2435
153,153,153,153,a2,34,target,implaus,The emperor of Austria lent the watch the tsar.,Did the watch receive something/someone?,yes,2,34_target_implaus_4.gif,6795
154,154,154,154,a2,35,target,implaus,The knight offered the helmet the farmer.,Did the farmer receive something/someone?,no,3,35_target_implaus_8.gif,9975
155,155,155,155,a2,36,target,implaus,The duchess offered the robe the girl.,Did the robe receive something/someone?,yes,1,36_target_implaus_1.gif,2260
156,156,156,156,a2,37,target,implaus,The monastery offered the shelf the monk.,Did the monk receive something/someone?,no,2,37_target_implaus_4.gif,5575
157,157,157,157,a2,38,target,implaus,The winemaker offered the ale the Jew.,Did the ale receive something/someone?,yes,3,38_target_implaus_8.gif,9960
158,158,158,158,a2,39,target,implaus,The conference organizer offered the jackets the speakers.,Did the speakers receive something/someone?,no,1,39_target_implaus_1.gif,2505
159,159,159,159,a2,40,target,implaus,The doctor passed the mask the nurse.,Did the mask receive something/someone?,yes,2,40_target_implaus_4.gif,5555
160,160,160,160,a2,41,target,implaus,The husband passed the plate the wife.,Did the wife receive something/someone?,no,3,41_target_implaus_8.gif,9960
161,161,161,161,a2,42,target,implaus,The guest passed the soup the host.,Did the soup receive something/someone?,yes,1,42_target_implaus_1.gif,2245
162,162,162,162,a2,43,target,implaus,The secretary passed the jam the boss.,Did the boss receive something/someone?,no,2,43_target_implaus_4.gif,5560
163,163,163,163,a2,44,target,implaus,The caregiver passed the onion the leper.,Did the onion receive something/someone?,yes,3,44_target_implaus_8.gif,9975
164,164,164,164,a2,45,target,implaus,The merchant sold the wine the lord.,Did the lord receive something/someone?,no,1,45_target_implaus_1.gif,2250
165,165,165,165,a2,46,target,implaus,The uncle sold the calves the niece.,Did the calves receive something/someone?,yes,2,46_target_implaus_4.gif,5550
166,166,166,166,a2,47,target,implaus,The food truck sold the pastry the rider.,Did the rider receive something/someone?,no,3,47_target_implaus_8.gif,11170
167,167,167,167,a2,48,target,implaus,The witch sold the serpent the wizard.,Did the serpent receive something/someone?,yes,1,48_target_implaus_1.gif,2260
168,168,168,168,a2,49,target,implaus,The butcher sold the pork the thief.,Did the thief receive something/someone?,no,2,49_target_implaus_4.gif,5550
169,169,169,169,a2,50,target,implaus,The foreigner leased the horse the king.,Did the horse receive something/someone?,yes,3,50_target_implaus_8.gif,9970
170,170,170,170,a2,51,target,implaus,The farmer leased the cottage the actor.,Did the actor receive something/someone?,no,1,51_target_implaus_1.gif,2270
171,171,171,171,a2,52,target,implaus,The groomsman leased the house the groom.,Did the house receive something/someone?,yes,2,52_target_implaus_4.gif,5575
172,172,172,172,a2,53,target,implaus,The manager leased the shirt the guy.,Did the guy receive something/someone?,no,3,53_target_implaus_8.gif,9955
173,173,173,173,a2,54,target,implaus,The boy threw the flute the knight.,Did the flute receive something/someone?,yes,1,54_target_implaus_1.gif,2245
174,174,174,174,a2,55,target,implaus,The girl threw the pen the boy.,Did the boy receive something/someone?,no,2,55_target_implaus_4.gif,5525
175,175,175,175,a2,56,target,implaus,The butler threw the bag the cook.,Did the bag receive something/someone?,yes,3,56_target_implaus_8.gif,9940
176,176,176,176,a2,57,target,implaus,The bartender tossed the apron the baker.,Did the baker receive something/someone?,no,1,57_target_implaus_1.gif,2275
177,177,177,177,a2,58,target,implaus,The miser tossed the peach the heir.,Did the peach receive something/someone?,yes,2,58_target_implaus_4.gif,5550
178,178,178,178,a2,59,target,implaus,The politician tossed the key the guard.,Did the guard receive something/someone?,no,3,59_target_implaus_8.gif,9970
179,179,179,179,a2,60,target,implaus,The mistress tossed the blouse the guest.,Did the blouse receive something/someone?,yes,1,60_target_implaus_1.gif,2275
180,180,180,180,a2,101,filler,filler,She pricked her finger on a thorn.,Did a thorn prick her finger?,yes,2,101_filler_filler_4.gif,5540
181,181,181,181,a2,102,filler,filler,The cat chased a small gray mouse.,Was the cat playing with a toy?,no,3,102_filler_filler_8.gif,9940
182,182,182,182,a2,103,filler,filler,He skipped a smooth stone across the lake.,Did the stone bounce across the water?,yes,1,103_filler_filler_1.gif,2425
183,183,183,183,a2,104,filler,filler,She turned the key in the old lock.,Did she try to open something with the key?,yes,2,104_filler_filler_4.gif,6140
184,184,184,184,a2,105,filler,filler,The magician pulled a rabbit out of his hat.,Did the magician produce a dove from the hat?,no,3,105_filler_filler_8.gif,12380
185,185,185,185,a2,106,filler,filler,He tied the package with some rope.,Was he wrapping the package with tape?,no,1,106_filler_filler_1.gif,2245
186,186,186,186,a2,107,filler,filler,The trainer clapped to cue the trained seal into the ring.,Was the seal given a signal to perform?,yes,2,107_filler_filler_4.gif,8040
187,187,187,187,a2,108,filler,filler,She left a handwritten note on his desk.,Did she send him an email instead?,no,3,108_filler_filler_8.gif,11165
188,188,188,188,a2,109,filler,filler,The brave soldier became a noble knight in the story.,Was the character portrayed as cowardly?,no,1,109_filler_filler_1.gif,2770
189,189,189,189,a2,110,filler,filler,He dipped a chip into the salsa.,Did he eat the chip with salsa?,yes,2,110_filler_filler_4.gif,5530
190,190,190,190,a2,111,filler,filler,He wore a black tie with a gray business suit.,Was he dressed formally?,yes,3,111_filler_filler_8.gif,13585
191,191,191,191,a2,112,filler,filler,She caught the fish in her fishing net.,Did she catch the fish?,yes,1,112_filler_filler_1.gif,2410
192,192,192,192,a2,113,filler,filler,He was in the prison.,Was he in the hospital?,no,2,113_filler_filler_4.gif,4285
193,193,193,193,a2,114,filler,filler,"To find the treasure, they followed the old map through the jungle.",Did they rely on a modern GPS system?,no,3,114_filler_filler_8.gif,16080
194,194,194,194,a2,115,filler,filler,She picked up a white spiral shell from the sand.,Did she find the shell in the snow?,no,1,115_filler_filler_1.gif,2750
195,195,195,195,a2,116,filler,filler,The night sky was lit by the bright full moon.,Was the full moon visible in the sky?,yes,2,116_filler_filler_4.gif,7385
196,196,196,196,a2,117,filler,filler,"For his birthday, they surprised him with a strawberry cake.",Was he expecting a birthday surprise?,no,3,117_filler_filler_8.gif,13655
197,197,197,197,a2,118,filler,filler,He grilled a fresh ear of corn for lunch.,Did he prepare corn using a grill?,yes,1,118_filler_filler_1.gif,2565
198,198,198,198,a2,119,filler,filler,He pulled tight to secure the knot in the rope.,Was he trying to untie the rope?,no,2,119_filler_filler_4.gif,7390
199,199,199,199,a2,120,filler,filler,She pulled some coins from her purse.,Did she have coins?,yes,3,120_filler_filler_8.gif,9955
200,200,200,200,a2,121,filler,filler,The hotel boasts an infinity pool.,Does the hotel have a pool?,yes,1,121_filler_filler_1.gif,2095
201,201,201,201,a2,122,filler,filler,The children built a castle.,Did the children build the castle?,yes,2,122_filler_filler_4.gif,4320
202,202,202,202,a2,123,filler,filler,The old stone mill by the river still grinds wheat into flour.,Was the mill by the river?,yes,3,123_filler_filler_8.gif,16055
203,203,203,203,a2,124,filler,filler,He had to tweak the settings on his camera to get the perfect shot.,Was he using a computer?,no,1,124_filler_filler_1.gif,3420
